id,title,sizeBytes,sizeMb,durationSec,bitrateKbps,sampleRateHz,codec,channels,estimate128KbpsMp3Bytes,estimate128KbpsMp3Mb,estimate96KbpsAacBytes,estimate96KbpsAacMb,savings128KbpsPct,savings96AacPct
how-much-is-that-doggie-in-the-window,(How Much Is That) Doggie In The Window_,5503578,5.25,135.1,320,44100,mp3,2,2160849,2.06,1620637,1.55,60.7,70.6
a-dream-in-the-clearing,A Dream in the Clearing,4051016,3.86,98.1,320,44100,mp3,2,1570273,1.5,1177704,1.12,61.2,70.9
a-dream-is-a-wish-your-heart-makes,A Dream is a Wish Your Heart Makes,4292797,4.09,102.9,320,44100,mp3,2,1646759,1.57,1235069,1.18,61.6,71.2
a-little-dream,A little dream,5360182,5.11,132.1,320,44100,mp3,2,2113202,2.02,1584901,1.51,60.6,70.4
a-new-day,A New Day,4829691,4.61,116.9,320,44100,mp3,2,1870367,1.78,1402776,1.34,61.3,71
a-slow-morning,A Slow Morning,4851886,4.63,119.6,320,44100,mp3,2,1914253,1.83,1435690,1.37,60.5,70.4
a-star-s-lullaby,A Star’s Lullaby,4746264,4.53,117.4,320,44100,mp3,2,1878309,1.79,1408731,1.34,60.4,70.3
a-summer-with-you,A Summer With You,4987325,4.76,123.8,320,44100,mp3,2,1981544,1.89,1486158,1.42,60.3,70.2
adventures-to-dreamland,Adventures to Dreamland,4363668,4.16,107.8,320,44100,mp3,2,1724082,1.64,1293061,1.23,60.5,70.4
alone-with-the-universe,Alone with the Universe,4751290,4.53,116.9,320,44100,mp3,2,1870367,1.78,1402776,1.34,60.6,70.5
alouette,Alouette,4411144,4.21,108.1,320,44100,mp3,2,1729933,1.65,1297450,1.24,60.8,70.6
angels-by-your-side,Angels by Your Side,5292312,5.05,130.4,320,44100,mp3,2,2085616,1.99,1564212,1.49,60.6,70.4
baa-baa-black-sheep,Baa Baa Black Sheep,4334449,4.13,107,320,44100,mp3,2,1712797,1.63,1284598,1.23,60.5,70.4
baby-lama,Baby Lama,4557236,4.35,112.8,320,44100,mp3,2,1804748,1.72,1353561,1.29,60.4,70.3
back-to-sleep,Back to Sleep,3341316,3.19,82.1,320,44100,mp3,2,1312810,1.25,984607,0.94,60.7,70.5
beautiful-dreamer,Beautiful Dreamer,4184247,3.99,101.8,320,44100,mp3,2,1629205,1.55,1221904,1.17,61.1,70.8
bedtime-tales,Bedtime Tales,5356111,5.11,131.7,320,44100,mp3,2,2107768,2.01,1580826,1.51,60.6,70.5
beneath-the-moss-blanket,Beneath the Moss Blanket,137958,,,,,,,,,,,,
best-friends,Best friends,2887212,2.75,69.8,320,44100,mp3,2,1117205,1.07,837904,0.8,61.3,71
beyond-the-rainbow,Beyond the Rainbow,87096,,,,,,,,,,,,
blue-world,Blue World,4023840,3.84,97.8,320,44100,mp3,2,1564421,1.49,1173316,1.12,61.1,70.8
brahms-lullaby,Brahms Lullaby,5059127,4.82,124,320,44100,mp3,2,1984000,1.89,1488000,1.42,60.8,70.6
bubbles,Bubbles,5993020,5.72,146,320,44100,mp3,2,2336392,2.23,1752294,1.67,61,70.8
bunny-s-long-day,Bunny_s Long Day,5525808,5.27,136.7,320,44100,mp3,2,2186762,2.09,1640072,1.56,60.4,70.3
canc-a-o-do-sono,Canção do sono,3802755,3.63,90.1,320,44100,mp3,2,1442377,1.38,1081783,1.03,62.1,71.6
clara-s-song,Clara’s Song,4204738,4.01,103.7,320,44100,mp3,2,1658462,1.58,1243847,1.19,60.6,70.4
