id,title,originalSizeBytes,originalSizeMb,newSizeBytes,newSizeMb,durationSec,reductionPct,originalBitrateKbps,newBitrateKbps,gcsObjectPath,uploaded,error
how-much-is-that-doggie-in-the-window,(How Much Is That) Doggie In The Window_,5503578,5.25,2636105,2.51,135.1,52.1,320,128,Rhymes-128/(How Much Is That) Doggie In The Window_.mp3,true,
a-dream-in-the-clearing,A Dream in the Clearing,4051016,3.86,2213543,2.11,98.1,45.4,320,128,Rhymes-128/A Dream in the Clearing.mp3,true,
a-dream-is-a-wish-your-heart-makes,A Dream is a Wish Your Heart Makes,4292797,4.09,2436591,2.32,102.9,43.2,320,128,Rhymes-128/A Dream is a Wish Your Heart Makes.mp3,true,
a-little-dream,A little dream,5360182,5.11,2473007,2.36,132.1,53.9,320,128,Rhymes-128/A little dream.mp3,true,
a-new-day,A New Day,4829691,4.61,2535313,2.42,116.9,47.5,320,128,Rhymes-128/A New Day.mp3,true,
a-slow-morning,A Slow Morning,4851886,4.63,2183134,2.08,119.6,55,320,128,Rhymes-128/A Slow Morning.mp3,true,
a-star-s-lullaby,A Star’s Lullaby,4746264,4.53,2058190,1.96,117.4,56.6,320,128,Rhymes-128/A Star’s Lullaby.mp3,true,
a-summer-with-you,A Summer With You,4987325,4.76,2063039,1.97,123.8,58.6,320,128,Rhymes-128/A Summer With You.mp3,true,
adventures-to-dreamland,Adventures to Dreamland,4363668,4.16,1880594,1.79,107.8,56.9,320,128,Rhymes-128/Adventures to Dreamland.mp3,true,
alone-with-the-universe,Alone with the Universe,4751290,4.53,2163962,2.06,116.9,54.5,320,128,Rhymes-128/Alone with the Universe.mp3,true,
alouette,Alouette,4411144,4.21,2160957,2.06,108.1,51,320,128,Rhymes-128/Alouette.mp3,true,
angels-by-your-side,Angels by Your Side,5292312,5.05,2392157,2.28,130.4,54.8,320,128,Rhymes-128/Angels by Your Side.mp3,true,
baa-baa-black-sheep,Baa Baa Black Sheep,4334449,4.13,1913460,1.82,107,55.9,320,128,Rhymes-128/Baa Baa Black Sheep.mp3,true,
baby-lama,Baby Lama,4557236,4.35,1946425,1.86,112.8,57.3,320,128,Rhymes-128/Baby Lama.mp3,true,
back-to-sleep,Back to Sleep,3341316,3.19,1602622,1.53,82.1,52,320,128,Rhymes-128/Back to Sleep.mp3,true,
beautiful-dreamer,Beautiful Dreamer,4184247,3.99,2195960,2.09,101.8,47.5,320,128,Rhymes-128/Beautiful Dreamer.mp3,true,
bedtime-tales,Bedtime Tales,5356111,5.11,2495319,2.38,131.7,53.4,320,128,Rhymes-128/Bedtime Tales.mp3,true,
beneath-the-moss-blanket,Beneath the Moss Blanket,137958,0.13,,,,,,,Rhymes-128/Beneath the Moss Blanket.mp3,false,Command failed: ffmpeg -y -hide_banner -loglevel error -i /Users/macbook/AmyNestProject/AmyNest-AI/lib/rhymes-audio/staging/Rhymes/Beneath the Moss Blanket.mp3 -codec:a libmp3lame -b:a 128k -ar 44100 -ac 2 -map_metadata 0 /Users/macbook/AmyNestProject/AmyNest-AI/lib/rhymes-audio/staging/Rhymes-128/Beneath the Moss Blanket.mp3
[in#0 @ 0x7fbd63a061c0] Failed to find two consecutive MPEG audio frames.
[in#0 @ 0x7fbd63a05ec0] Error opening input: Invalid data found when processing input
Error opening input file /Users/macbook/AmyNestProject/AmyNest-AI/lib/rhymes-audio/staging/Rhymes/Beneath the Moss Blanket.mp3.
Error opening input files: Invalid data found when processing input

best-friends,Best friends,2887212,2.75,1501757,1.43,69.8,48,320,128,Rhymes-128/Best friends.mp3,true,
